,Permit BIN,Permit Application Job Number,Permit Application Document Number,Permit Application Job Type,Permit Type,Permit SubType,Permit Status Description,Permit Sequence Number,Permit Status Date,Permit Issuance Date,Permit Experation Date
61483,3397395,320333064,1,A2,EQ,FN,PERMIT ISSUED,1,07/08/2011 12:00:00 AM,07/08/2011 12:00:00 AM,03/11/2012 12:00:00 AM
82345,4436341,420288655,1,A2,EQ,FN,PERMIT ISSUED,1,02/08/2011 12:00:00 AM,02/08/2011 12:00:00 AM,02/08/2012 12:00:00 AM
18544,1001394,120667965,1,A2,PL,N/A,PERMIT ISSUED,1,05/04/2011 12:00:00 AM,05/04/2011 12:00:00 AM,05/03/2012 12:00:00 AM
4893,1087979,104603216,1,NB,EQ,FN,PERMIT ISSUED,7,01/20/2011 12:00:00 AM,01/20/2011 12:00:00 AM,01/01/2012 12:00:00 AM
2041,1016938,110149768,1,A2,PL,N/A,PERMIT ISSUED,2,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,10/11/2011 12:00:00 AM
81271,4050482,420275534,1,A2,EW,OT,PERMIT ISSUED,2,04/12/2011 12:00:00 AM,04/12/2011 12:00:00 AM,04/01/2012 12:00:00 AM
32924,1035322,120655460,1,A2,EW,OT,PERMIT ISSUED,1,05/05/2011 12:00:00 AM,05/05/2011 12:00:00 AM,03/28/2012 12:00:00 AM
70844,3040990,320319990,1,A2,EW,OT,PERMIT ISSUED,1,06/27/2011 12:00:00 AM,06/27/2011 12:00:00 AM,10/01/2011 12:00:00 AM
37440,1018471,120820825,1,A2,EQ,OT,PERMIT ISSUED,1,09/13/2011 12:00:00 AM,09/13/2011 12:00:00 AM,09/12/2012 12:00:00 AM
57493,3205706,302255208,1,A2,PL,N/A,PERMIT ISSUED,3,03/29/2011 12:00:00 AM,03/29/2011 12:00:00 AM,03/28/2012 12:00:00 AM
88840,4438102,420357223,1,A2,EW,OT,PERMIT ISSUED,1,05/19/2011 12:00:00 AM,05/19/2011 12:00:00 AM,04/29/2012 12:00:00 AM
53749,3027456,320148782,1,A2,EW,OT,PERMIT ISSUED,4,08/31/2011 12:00:00 AM,08/31/2011 12:00:00 AM,08/30/2012 12:00:00 AM
20324,1054342,120585544,1,A3,AL,N/A,PERMIT ISSUED,1,03/25/2011 12:00:00 AM,03/25/2011 12:00:00 AM,02/28/2012 12:00:00 AM
69072,3346654,320234545,1,NB,EQ,FN,PERMIT ISSUED,1,04/18/2011 12:00:00 AM,04/18/2011 12:00:00 AM,11/09/2011 12:00:00 AM
89287,4035010,420329932,1,NB,FO,N/A,PERMIT ISSUED,1,06/02/2011 12:00:00 AM,06/02/2011 12:00:00 AM,11/04/2011 12:00:00 AM
32430,1032121,120749422,1,A2,PL,N/A,PERMIT ISSUED,1,07/22/2011 12:00:00 AM,07/22/2011 12:00:00 AM,07/21/2012 12:00:00 AM
29153,1010653,120720023,1,A2,PL,N/A,PERMIT ISSUED,1,08/04/2011 12:00:00 AM,08/04/2011 12:00:00 AM,08/03/2012 12:00:00 AM
50993,3139234,310232165,1,A1,PL,N/A,PERMIT ISSUED,2,09/08/2011 12:00:00 AM,09/08/2011 12:00:00 AM,09/07/2012 12:00:00 AM
21652,1034218,120575831,1,A2,PL,N/A,PERMIT ISSUED,1,08/19/2011 12:00:00 AM,08/19/2011 12:00:00 AM,08/18/2012 12:00:00 AM
41332,1012214,120773056,1,SG,SG,N/A,PERMIT ISSUED,1,08/05/2011 12:00:00 AM,08/05/2011 12:00:00 AM,08/04/2012 12:00:00 AM
57098,3167072,320156790,2,A2,PL,N/A,PERMIT ISSUED,2,07/06/2011 12:00:00 AM,07/06/2011 12:00:00 AM,07/05/2012 12:00:00 AM
72664,3142716,320093910,1,A2,PL,N/A,PERMIT ISSUED,1,08/30/2011 12:00:00 AM,08/30/2011 12:00:00 AM,08/29/2012 12:00:00 AM
12160,1064342,120492519,1,A2,PL,N/A,PERMIT ISSUED,1,10/29/2010 12:00:00 AM,10/29/2010 12:00:00 AM,10/29/2011 12:00:00 AM
56934,2014701,220103554,1,A2,EW,FP,PERMIT ISSUED,1,03/23/2011 12:00:00 AM,03/23/2011 12:00:00 AM,03/22/2012 12:00:00 AM
48630,1023158,120761149,2,A2,EW,MH,PERMIT ISSUED,1,08/05/2011 12:00:00 AM,08/05/2011 12:00:00 AM,10/01/2011 12:00:00 AM
33274,1046431,120701437,1,A3,EQ,SH,PERMIT ISSUED,1,05/24/2011 12:00:00 AM,05/24/2011 12:00:00 AM,04/01/2012 12:00:00 AM
70428,4030319,402001613,1,A1,PL,N/A,PERMIT ISSUED,3,03/17/2011 12:00:00 AM,03/17/2011 12:00:00 AM,03/16/2012 12:00:00 AM
9843,1034114,120330793,1,A2,EW,MH,PERMIT ISSUED,1,09/28/2011 12:00:00 AM,09/28/2011 12:00:00 AM,06/10/2012 12:00:00 AM
13857,1015862,120445713,2,A2,EW,OT,PERMIT ISSUED,1,10/22/2010 12:00:00 AM,10/22/2010 12:00:00 AM,10/01/2011 12:00:00 AM
59701,3245618,320174459,1,A2,EW,OT,PERMIT ISSUED,2,01/19/2011 12:00:00 AM,01/19/2011 12:00:00 AM,01/19/2012 12:00:00 AM
66713,3342629,320296274,1,A2,EW,OT,PERMIT ISSUED,1,05/05/2011 12:00:00 AM,05/05/2011 12:00:00 AM,04/01/2012 12:00:00 AM
47694,2832180,220041194,1,NB,NB,N/A,PERMIT ISSUED,3,06/02/2011 12:00:00 AM,06/02/2011 12:00:00 AM,11/03/2011 12:00:00 AM
3552,1035253,120050746,2,A2,EW,MH,PERMIT ISSUED,6,03/21/2011 12:00:00 AM,03/21/2011 12:00:00 AM,03/20/2012 12:00:00 AM
14304,1036149,120581566,1,A2,EW,MH,PERMIT ISSUED,2,07/07/2011 12:00:00 AM,07/07/2011 12:00:00 AM,07/01/2012 12:00:00 AM
3754,1082116,120238750,1,A2,EW,OT,PERMIT ISSUED,2,05/17/2011 12:00:00 AM,05/17/2011 12:00:00 AM,04/21/2012 12:00:00 AM
90954,4249621,420175410,2,A2,PL,N/A,PERMIT ISSUED,1,10/20/2010 12:00:00 AM,10/20/2010 12:00:00 AM,10/20/2011 12:00:00 AM
64409,3127667,320218082,1,A2,EW,FB,PERMIT ISSUED,1,10/01/2010 12:00:00 AM,10/01/2010 12:00:00 AM,10/01/2011 12:00:00 AM
38932,1078137,120789520,1,A3,EQ,SH,PERMIT ISSUED,1,08/10/2011 12:00:00 AM,08/10/2011 12:00:00 AM,08/09/2012 12:00:00 AM
50013,3817926,310278829,1,A2,PL,N/A,PERMIT ISSUED,2,08/31/2011 12:00:00 AM,08/31/2011 12:00:00 AM,08/30/2012 12:00:00 AM
56904,3081202,301648634,1,A2,PL,N/A,PERMIT ISSUED,3,01/05/2011 12:00:00 AM,01/05/2011 12:00:00 AM,01/05/2012 12:00:00 AM
35660,1063496,120659180,1,A2,EQ,FN,PERMIT ISSUED,1,04/26/2011 12:00:00 AM,04/26/2011 12:00:00 AM,10/30/2011 12:00:00 AM
75161,4128853,420343177,1,A1,AL,N/A,PERMIT ISSUED,1,08/18/2011 12:00:00 AM,08/18/2011 12:00:00 AM,07/28/2012 12:00:00 AM
6338,1001466,103949140,1,A2,PL,N/A,PERMIT ISSUED,3,12/02/2010 12:00:00 AM,12/02/2010 12:00:00 AM,12/02/2011 12:00:00 AM
2940,1057430,103849597,1,A2,EW,SP,PERMIT ISSUED,3,03/29/2011 12:00:00 AM,03/29/2011 12:00:00 AM,03/28/2012 12:00:00 AM
4347,1082029,100461778,1,A1,PL,N/A,PERMIT ISSUED,4,06/08/2011 12:00:00 AM,06/08/2011 12:00:00 AM,06/07/2012 12:00:00 AM
84870,4456772,420247076,1,A2,EW,FP,PERMIT ISSUED,1,10/07/2010 12:00:00 AM,10/07/2010 12:00:00 AM,10/07/2011 12:00:00 AM
55097,3322157,320147177,1,A2,EW,OT,PERMIT ISSUED,1,03/10/2011 12:00:00 AM,03/10/2011 12:00:00 AM,03/09/2012 12:00:00 AM
25087,1057273,120672094,1,A2,EW,OT,PERMIT ISSUED,1,06/14/2011 12:00:00 AM,06/14/2011 12:00:00 AM,06/13/2012 12:00:00 AM
79763,4100732,420355421,1,A2,EW,OT,PERMIT ISSUED,1,05/13/2011 12:00:00 AM,05/13/2011 12:00:00 AM,12/22/2011 12:00:00 AM
16180,1053017,120450083,1,A3,EQ,SH,PERMIT ISSUED,2,12/09/2010 12:00:00 AM,12/09/2010 12:00:00 AM,12/09/2011 12:00:00 AM
73559,3395418,320189639,1,NB,FO,EA,PERMIT ISSUED,1,06/28/2011 12:00:00 AM,06/28/2011 12:00:00 AM,03/20/2012 12:00:00 AM
40156,1027463,120807065,2,A2,EW,MH,PERMIT ISSUED,1,08/30/2011 12:00:00 AM,08/30/2011 12:00:00 AM,03/01/2012 12:00:00 AM
9360,1088288,120051022,1,A2,EW,SP,PERMIT ISSUED,2,09/29/2011 12:00:00 AM,09/29/2011 12:00:00 AM,09/28/2012 12:00:00 AM
93028,4163709,420370832,1,A2,EW,MH,PERMIT ISSUED,1,07/20/2011 12:00:00 AM,07/20/2011 12:00:00 AM,12/08/2011 12:00:00 AM
62815,3242988,320119876,1,A1,EQ,FN,PERMIT ISSUED,2,12/23/2010 12:00:00 AM,12/23/2010 12:00:00 AM,12/23/2011 12:00:00 AM
