,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
4347,1090825,10,VANDERBILT AVENUE,MANHATTAN,105,M00333692-I1-MS,M9448602,AHV Permit Issued,Renewal,Public Safety,12/07/2020 06:00:00 PM,12/08/2020 12:00:00 AM,false,true,true,false,40.752732,-73.978138,5,4,94,1012770027,Midtown-Midtown South
10886,1012843,460,WEST 34 STREET,MANHATTAN,104,M00220763-I1-FN,M5584758,AHV Permit Issued,Initial,Public Safety,11/21/2019 10:00:00 PM,11/22/2019 06:00:00 AM,true,false,false,false,40.754329,-73.998578,4,3,103,1007310001,Hudson Yards-Chelsea-Flatiron-Union Square
55097,1036465,375,PARK AVENUE,MANHATTAN,105,M00526077-I1-GC,M4795704,AHV Permit Issued,Renewal,Construction activities with minimal noise impact,11/10/2021 06:00:00 PM,11/11/2021 06:00:00 AM,true,true,true,false,40.758786,-73.972801,5,4,100,1013070001,Turtle Bay-East Midtown
25087,1000880,80,PINE STREET,MANHATTAN,101,M00484836-I1-GC,M8631633,AHV Permit Issued,Renewal,Public Safety,07/07/2021 06:00:00 PM,07/07/2021 10:00:00 PM,true,false,false,false,40.705892,-74.007181,1,1,7,1000390012,Battery Park City-Lower Manhattan
21966,1035737,685,5 AVENUE,MANHATTAN,,,M1565373,AHV Permit Issued,Initial,Construction activities with minimal noise impact,03/24/2021 12:01:00 AM,03/24/2021 06:00:00 AM,true,false,false,true,40.76082,-73.975093,5,4,102,1012897501,Midtown-Midtown South
16180,1022709,1271,AVENUE OF THE AMERICAS,MANHATTAN,105,M00285983-I1-ST,M5029296,AHV Permit Rejected,Initial,Public Safety,03/27/2020 06:00:00 PM,03/28/2020 02:00:00 AM,true,true,true,false,40.760289,-73.980157,5,4,131,1010030029,Midtown-Midtown South
28093,1085682,151,WEST   42 STREET,MANHATTAN,105,"M00482399-I1-GC, M00482406-I1-ST",M3929678,AHV Permit Issued,Initial,Public Safety,06/01/2021 06:00:00 PM,06/02/2021 06:00:00 AM,true,true,false,false,40.755478,-73.985598,5,4,119,1009950005,Midtown-Midtown South
40156,1014948,155,WEST   23 STREET,MANHATTAN,104,"M00532499-I1-GC, M00527097-I1-ST, M00492079-I1-GC, M00487383-I1-GC, M00486480-I1-MS",M1061982,AHV Permit Issued,Initial,Public Safety,08/03/2021 06:00:00 PM,08/04/2021 02:00:00 AM,true,true,false,false,40.743556,-73.994323,4,3,91,1007990012,Hudson Yards-Chelsea-Flatiron-Union Square
9360,1014981,119,WEST 24 STREET,MANHATTAN,104,M00269210-I1-MS,M5669213,AHV Permit Issued,Initial,Public Safety,01/04/2020 07:00:00 AM,01/04/2020 05:00:00 PM,true,true,true,false,40.74391,-73.993104,4,3,91,1008000025,Hudson Yards-Chelsea-Flatiron-Union Square
65536,1015175,11,PENNSYLVANIA PLAZA,MANHATTAN,105,M00559179-I1-GC,M5844730,AHV Permit Issued,Renewal,Construction activities with minimal noise impact,11/23/2021 06:00:00 PM,11/24/2021 12:00:00 AM,true,true,true,false,40.749402,-73.991775,5,3,101,1008070001,Midtown-Midtown South
62815,1071414,1166,AVENUE OF THE AMERICAS,MANHATTAN,105,"M00511578-I1-GC, M00511607-I1-ST, M00512010-I1-MS",M6605061,AHV Permit Issued,Initial,Public Safety,11/29/2021 06:00:00 PM,11/30/2021 03:00:00 AM,true,true,false,false,40.757004,-73.982526,5,4,96,1012617501,Midtown-Midtown South
