,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
23711,3257043,31,FLEET WALK,BROOKLYN,302,"B00372756-I1-SH, B00372184-I1-FN, B00372762-I1-SF",B8626603,AHV Permit Issued,Renewal,Public Safety,05/02/2021 08:00:00 AM,05/02/2021 06:00:00 PM,true,false,false,false,40.695002,-73.981435,2,35,15,3020500001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
4297,1090825,10,VANDERBILT AVENUE,MANHATTAN,105,"M00327506-I1-ST, 123777706-01-EW-OT, 123777706-02-EW-MH",M8466700,AHV Permit Issued,Renewal,Public Safety,12/06/2020 07:00:00 AM,12/06/2020 06:00:00 PM,true,true,false,false,40.752732,-73.978138,5,4,94,1012770027,Midtown-Midtown South
24296,1035727,520,MADISON AVENUE,MANHATTAN,105,M00496248-I1-GC,M3563865,AHV Permit Issued,Initial,Public Safety,04/29/2021 06:00:00 PM,04/30/2021 12:00:00 AM,false,true,true,false,40.760107,-73.974768,5,4,102,1012890014,Midtown-Midtown South
31242,1087143,149,EAST  125 STREET,MANHATTAN,111,M00544422-I1-GC,M2108549,AHV Permit Issued,Initial,Construction activities with minimal noise impact,07/06/2021 06:00:00 PM,07/06/2021 10:00:00 PM,true,true,false,false,40.804217,-73.937019,11,9,196,1017747501,East Harlem North
17078,1034484,580,FIFTH AVENUE,MANHATTAN,105,M00393863-I1-PL,M2819627,AHV Permit Issued,Initial,Emergency Work,01/09/2021 08:00:00 AM,01/09/2021 05:00:00 PM,true,true,false,false,40.756959,-73.979025,5,4,96,1012630034,Midtown-Midtown South
23536,1083869,55,EAST   52 STREET,MANHATTAN,105,M00448058-I1-GC,M9462771,Approved,Initial,Public Safety,05/19/2021 06:00:00 PM,05/20/2021 02:00:00 AM,false,true,false,false,40.758828,-73.973978,5,4,102,1012880027,Midtown-Midtown South
31687,4224410,204-11,HILLSIDE AVENUE,QUEENS,408,Q00469996-I1-GC,Q2588724,AHV Permit Issued,Initial,Emergency Work,07/08/2021 06:00:00 PM,07/08/2021 11:00:00 PM,false,true,false,false,40.720406,-73.760959,8,23,478,4105330001,Jamaica Estates-Holliswood
13446,1076195,1601,BROADWAY,MANHATTAN,105,M00211609-I1-MS,M1006336,AHV Permit Rejected,Initial,Public Safety,11/18/2019 06:00:00 PM,11/19/2019 07:00:00 AM,true,true,false,false,40.760375,-73.985189,5,3,125,1010200046,Midtown-Midtown South
5276,1035792,727,5 AVENUE,MANHATTAN,105,M00217047-I1-SH,M7225887,AHV Permit Issued,Initial,Public Safety,10/31/2019 09:00:00 PM,11/01/2019 06:00:00 AM,true,false,false,false,40.762569,-73.974247,5,4,11202,1012920069,Midtown-Midtown South
27135,1083860,45,ROCKEFELLER PLAZA,MANHATTAN,105,M00492878-I1-ST,M3482241,AHV Permit Rejected,Initial,Construction activities with minimal noise impact,06/19/2021 06:00:00 AM,06/19/2021 06:00:00 PM,false,false,false,true,40.759204,-73.978335,5,4,104,1012660001,Midtown-Midtown South
2283,1022709,1271,AVENUE OF THE AMERICAS,MANHATTAN,105,"M00344197-I1-ST, M00344310-I1-MS, M00344315-I1-MS",M7117054,AHV Permit Issued,Initial,Public Safety,10/22/2020 06:00:00 PM,10/23/2020 07:00:00 AM,true,true,false,false,40.760289,-73.980157,5,4,131,1010030029,Midtown-Midtown South
55589,1034485,590,FIFTH AVENUE,MANHATTAN,105,M00585807-I1-GC,M8915764,AHV Permit Issued,Initial,Public Safety,10/07/2021 06:00:00 PM,10/08/2021 02:00:00 AM,true,true,true,false,40.757066,-73.978285,5,4,96,1012630038,Midtown-Midtown South
58790,1007825,160,VARICK STREET,MANHATTAN,102,M00496016-I1-GC,M5592182,AHV Permit Issued,Initial,Public Safety,11/13/2021 09:00:00 AM,11/13/2021 05:00:00 PM,true,false,false,false,40.726615,-74.005617,2,3,37,1005067501,SoHo-TriBeCa-Civic Center-Little Italy
34115,1035788,32,EAST   57 STREET,MANHATTAN,105,M00530681-I1-SH,M1028947,AHV Permit Issued,Initial,Public Safety,06/23/2021 06:00:00 PM,06/24/2021 06:00:00 AM,true,false,false,false,40.762162,-73.972082,5,4,11202,1012920048,Midtown-Midtown South
13379,1080922,460,WEST 41 STREET,MANHATTAN,104,M00078513-I1-SH,M9676886,AHV Permit Issued,Initial,Public Safety,03/16/2019 07:00:00 AM,03/16/2019 05:00:00 PM,true,false,false,false,40.758655,-73.995116,4,3,115,1010500001,Clinton
62272,1046429,15,EAST   79 STREET,MANHATTAN,108,M00495870-I1-GC,M5737327,AHV Permit Issued,Renewal,Public Safety,11/18/2021 06:00:00 PM,11/18/2021 09:00:00 PM,true,true,false,false,40.776701,-73.962991,8,4,142,1014910008,Upper East Side-Carnegie Hill
48427,1000005,1,NEW YORK PLAZA,MANHATTAN,101,"M00503824-I1-GC, M00504195-I1-MS",M1716540,AHV Permit Issued,Renewal,Public Safety,09/29/2021 06:00:00 PM,09/30/2021 02:00:00 AM,true,true,false,false,40.70254,-74.012562,1,1,9,1000047501,Battery Park City-Lower Manhattan
66241,3201629,3117,AVENUE W,BROOKLYN,315,"B00590533-I1-SF, B00590529-I1-FN, B00590530-I1-SH",B4844128,AHV Permit Issued,Renewal,Construction activities with minimal noise impact,12/17/2021 06:00:00 PM,12/17/2021 11:59:00 PM,true,false,false,false,40.596757,-73.933499,15,46,570,3073930001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
40990,4059955,59-57,56 AVENUE,QUEENS,405,Q00485467-I1-GC-CX,Q7797078,AHV Permit Issued,Initial,Public Safety,09/18/2021 08:00:00 AM,09/18/2021 05:00:00 PM,true,false,false,false,40.725282,-73.907196,5,30,531,4026880055,Maspeth
6314,3127746,275,WEBSTER AVENUE,BROOKLYN,314,B00034358-I1-SH,B1744091,AHV Permit Issued,Initial,Public Safety,04/21/2018 06:00:00 AM,04/21/2018 06:00:00 PM,true,false,false,false,40.632894,-73.970716,14,40,482,3054170058,Flatbush
40620,1016951,295,5 AVENUE,MANHATTAN,105,"M00318610-I1-MS, M00348205-I1-ST, 123842538-01-AL",M6804259,AHV Permit Issued,Renewal,Public Safety,09/13/2021 06:00:00 PM,09/13/2021 11:00:00 PM,true,true,true,false,40.746333,-73.986084,5,4,74,1008600001,Midtown-Midtown South
61483,3401193,247,WILLIAMS AVENUE,BROOKLYN,305,B00528984-I1-ST,B5152437,AHV Permit Issued,Initial,Public Safety,11/06/2021 07:00:00 AM,11/06/2021 06:00:00 PM,true,true,false,false,40.669886,-73.899206,5,42,1134,3037510005,East New York (Pennsylvania Ave)
28505,1090825,10,VANDERBILT AVENUE,MANHATTAN,105,M00446480-I1-GC,M7228946,AHV Permit Issued,Initial,Public Safety,05/28/2021 06:00:00 PM,05/29/2021 02:00:00 AM,false,true,false,false,40.752732,-73.978138,5,4,94,1012770027,Midtown-Midtown South
18544,1035328,475,5 AVENUE,MANHATTAN,105,M00452843-I1-GC,M5078354,AHV Permit Issued,Initial,Public Safety,02/09/2021 06:00:00 PM,02/10/2021 02:00:00 AM,true,true,true,false,40.752664,-73.98147,5,4,82,1012750069,Murray Hill-Kips Bay
4893,1014387,1,PENN PLAZA,MANHATTAN,105,M00105672-I1-SH,M1759889,AHV Permit Issued,Initial,Public Safety,04/04/2019 06:00:00 PM,04/05/2019 06:00:00 AM,true,false,false,false,40.751098,-73.992926,5,3,101,1007830070,Midtown-Midtown South
2041,1001026,120,BROADWAY,MANHATTAN,101,"123840022-01-EW-OT, M00285102-I1-MS, M00285056-I1-ST",M3748493,AHV Permit Rejected,Initial,Public Safety,09/25/2020 06:00:00 PM,09/26/2020 01:00:00 AM,true,false,false,false,40.708546,-74.011041,1,1,7,1000477501,Battery Park City-Lower Manhattan
22384,1036082,767,5 AVENUE,MANHATTAN,105,M00483859-I1-GC,M8591167,AHV Permit Rejected,Initial,Public Safety,04/30/2021 06:00:00 PM,05/01/2021 02:00:00 AM,false,true,true,false,40.76402,-73.973189,5,4,11202,1012940001,Midtown-Midtown South
32924,1088582,510,MADISON AVENUE,MANHATTAN,105,M00535938-I1-GC,M7069016,AHV Permit Issued,Initial,Public Safety,07/09/2021 06:00:00 PM,07/10/2021 02:00:00 AM,true,true,true,false,40.759651,-73.974299,5,4,102,1012880056,Midtown-Midtown South
51148,1067567,2,HORATIO STREET,MANHATTAN,102,M00502167-I1-GC,M6882799,AHV Permit Rejected,Initial,Construction activities with minimal noise impact,10/16/2021 09:00:00 AM,10/16/2021 04:00:00 PM,true,false,false,false,40.738753,-74.002504,2,3,77,1006167501,West Village
37440,1080644,620,AVENUE OF THE AMERICAS,MANHATTAN,105,"M00538267-I1-MS, M00538263-I1-GC",M8768704,AHV Permit Rejected,Initial,Public Safety,07/23/2021 06:00:00 PM,07/24/2021 02:00:00 AM,true,false,false,false,40.740081,-73.994843,5,3,54,1008207505,Hudson Yards-Chelsea-Flatiron-Union Square
57493,5159763,365,BAY STREET,STATEN ISLAND,501,S00481247-I1-GC,S9485823,AHV Permit Issued,Renewal,Public Safety,11/03/2021 06:00:00 AM,11/03/2021 07:00:00 AM,true,true,false,false,40.633326,-74.075253,1,49,21,5004880071,Stapleton-Rosebank
54847,1071414,1166,AVENUE OF THE AMERICAS,MANHATTAN,105,"M00511578-I1-GC, M00511607-I1-ST, M00512010-I1-MS",M9972260,AHV Permit Issued,Initial,Public Safety,10/12/2021 06:00:00 PM,10/13/2021 03:00:00 AM,true,true,false,false,40.757004,-73.982526,5,4,96,1012617501,Midtown-Midtown South
53749,1024686,3,TIMES SQUARE,MANHATTAN,105,M00546231-I1-GC,M6048780,AHV Permit Issued,Initial,Construction activities with minimal noise impact,10/06/2021 06:00:00 PM,10/06/2021 11:59:00 PM,true,true,true,false,40.756376,-73.986713,5,3,119,1010140033,Midtown-Midtown South
20324,3002108,16,COURT STREET,BROOKLYN,302,B00483868-I1-GC,B1472993,AHV Permit Issued,Initial,Construction activities with minimal noise impact,05/05/2021 06:00:00 PM,05/06/2021 02:00:00 AM,true,true,true,false,40.693445,-73.990577,2,33,9,3002500044,Brooklyn Heights-Cobble Hill
58209,1080644,620,6 AVENUE,MANHATTAN,105,"M00596058-I1-GC, M00596215-I1-MS",M5399383,AHV Permit Issued,Initial,Public Safety,10/30/2021 09:00:00 AM,10/30/2021 05:00:00 PM,true,false,false,false,40.740081,-73.994843,5,3,54,1008207505,Hudson Yards-Chelsea-Flatiron-Union Square
20315,1024877,1740,BROADWAY,MANHATTAN,105,M00449585-I1-GC,M1918086,AHV Permit Issued,Renewal,Public Safety,03/11/2021 06:00:00 PM,03/12/2021 03:00:00 AM,true,true,true,false,40.765098,-73.982095,5,4,137,1010270020,Midtown-Midtown South
32430,1034510,1290,AVENUE OF THE AMERICAS,MANHATTAN,105,M00512340-I1-GC,M2784994,AHV Permit Issued,Renewal,City Construction Project,08/07/2021 08:00:00 AM,08/07/2021 08:00:00 PM,true,true,false,false,40.760857,-73.979717,5,4,104,1012670001,Midtown-Midtown South
29153,1083346,55,WATER STREET,MANHATTAN,101,"M00491815-I1-GC, M00491851-I1-ST",M1838561,AHV Permit Rejected,Initial,Construction activities with minimal noise impact,05/25/2021 12:00:00 AM,05/25/2021 06:59:00 AM,false,true,false,false,40.703608,-74.009691,1,1,9,1000327501,Battery Park City-Lower Manhattan
50993,3257037,38,FLEET WALK,BROOKLYN,302,"B00325449-I1-SH, B00330235-I1-FN, B00352341-I1-SF",B3113185,AHV Permit Issued,Initial,Public Safety,10/04/2021 06:00:00 PM,10/04/2021 11:59:00 PM,true,false,false,false,40.69469,-73.981735,2,35,15,3020500001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
21652,1063947,185,WADSWORTH AVENUE,MANHATTAN,,,M9985950,AHV Permit Issued,Initial,Public Safety,05/16/2021 08:00:00 AM,05/16/2021 04:00:00 PM,true,false,false,true,40.850626,-73.934377,12,10,271,1021650026,Washington Heights North
