,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
16693,1022709,1271,6 AVE,MANHATTAN,105,004090451,6407962,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,12/29/2020 06:00:00 PM,12/29/2020 11:59:00 PM,TRUE,TRUE,FALSE,FALSE,40.760289,-73.980157,5,4,131,1010030029,MIDTOWN-MIDTOWN SOUTH
55270,1030519,2099,BROADWAY,MANHATTAN,107,005036091,2882523,AHV PERMIT ISSUED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,10/06/2021 06:00:00 PM,10/07/2021 02:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.77947,-73.981888,7,6,159,1011640037,LINCOLN SQUARE
18993,1015500,160,5 AVE,MANHATTAN,105,004646461,5866162,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,05/11/2021 08:01:00 PM,05/12/2021 12:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.740177,-73.990589,5,3,54,1008227507,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE
23711,3257043,31,FLEET WALK,BROOKLYN,302,003727561003721841003727621,8626603,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,05/02/2021 08:00:00 AM,05/02/2021 06:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.695002,-73.981435,2,35,15,3020500001,DUMBO-VINEGAR HILL-DOWNTOWN BROOKLYN-BOERUM HILL
4297,1090825,10,VANDERBILT AVE,MANHATTAN,105,0032750611237777060112377770602,8466700,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,12/06/2020 07:00:00 AM,12/06/2020 06:00:00 PM,TRUE,TRUE,FALSE,FALSE,40.752732,-73.978138,5,4,94,1012770027,MIDTOWN-MIDTOWN SOUTH
24296,1035727,520,MADISON AVE,MANHATTAN,105,004962481,3563865,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,04/29/2021 06:00:00 PM,04/30/2021 12:00:00 AM,FALSE,TRUE,TRUE,FALSE,40.760107,-73.974768,5,4,102,1012890014,MIDTOWN-MIDTOWN SOUTH
31242,1087143,149,EAST 125 ST,MANHATTAN,111,005444221,2108549,AHV PERMIT ISSUED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,07/06/2021 06:00:00 PM,07/06/2021 10:00:00 PM,TRUE,TRUE,FALSE,FALSE,40.804217,-73.937019,11,9,196,1017747501,EAST HARLEM NORTH
17078,1034484,580,5 AVE,MANHATTAN,105,003938631,2819627,AHV PERMIT ISSUED,INITIAL,EMERGENCY WORK,01/09/2021 08:00:00 AM,01/09/2021 05:00:00 PM,TRUE,TRUE,FALSE,FALSE,40.756959,-73.979025,5,4,96,1012630034,MIDTOWN-MIDTOWN SOUTH
23536,1083869,55,EAST 52 ST,MANHATTAN,105,004480581,9462771,APPROVED,INITIAL,PUBLIC SAFETY,05/19/2021 06:00:00 PM,05/20/2021 02:00:00 AM,FALSE,TRUE,FALSE,FALSE,40.758828,-73.973978,5,4,102,1012880027,MIDTOWN-MIDTOWN SOUTH
31687,4224410,204-11,HILLSIDE AVE,QUEENS,408,004699961,2588724,AHV PERMIT ISSUED,INITIAL,EMERGENCY WORK,07/08/2021 06:00:00 PM,07/08/2021 11:00:00 PM,FALSE,TRUE,FALSE,FALSE,40.720406,-73.760959,8,23,478,4105330001,JAMAICA ESTATES-HOLLISWOOD
