,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
66713,1015732,260,5 AVE,MANHATTAN,105,005670411,2509042,AHV PERMIT REJECTED,INITIAL,PUBLIC SAFETY,12/17/2021 06:00:00 PM,12/17/2021 09:00:00 PM,TRUE,FALSE,TRUE,FALSE,40.745037,-73.987048,5,4,76,1008300042,MIDTOWN-MIDTOWN SOUTH
47694,1035380,545,5 AVE,MANHATTAN,105,005801381,3505098,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,10/02/2021 08:00:00 AM,10/02/2021 04:00:00 PM,TRUE,TRUE,FALSE,FALSE,40.755164,-73.979188,5,4,94,1012790069,MIDTOWN-MIDTOWN SOUTH
3552,1035792,727,5 AVE,MANHATTAN,105,003542781,4575731,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,09/25/2020 10:00:00 PM,09/26/2020 06:00:00 AM,TRUE,FALSE,FALSE,FALSE,40.762569,-73.974247,5,4,11202,1012920069,MIDTOWN-MIDTOWN SOUTH
14304,3189511,2950,WEST 35 ST,BROOKLYN,313,000148751,7643510,AHV PERMIT ISSUED,INITIAL,CITY CONSTRUCTION PROJECT,03/17/2018 08:00:00 AM,03/17/2018 05:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.573838,-74.000493,13,47,342,3070460022,SEAGATE-CONEY ISLAND
3754,1090825,10,VANDERBILT AVE,MANHATTAN,105,003336921,5210096,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,11/18/2020 06:00:00 PM,11/19/2020 12:00:00 AM,FALSE,TRUE,TRUE,FALSE,40.752732,-73.978138,5,4,94,1012770027,MIDTOWN-MIDTOWN SOUTH
44180,1080644,620,AVENUE OF THE AMERICAS,MANHATTAN,105,005382631005382671,8894348,AHV PERMIT ISSUED,RENEWAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,09/16/2021 06:00:00 PM,09/17/2021 02:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.740081,-73.994843,5,3,54,1008207505,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE
64409,2092075,1451,WASHINGTON AVE,BRONX,203,004509461002173271002173231,4805529,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,11/29/2021 06:00:00 PM,11/29/2021 11:59:00 PM,TRUE,FALSE,FALSE,FALSE,40.836458,-73.904016,3,16,14702,2029020036,CLAREMONT-BATHGATE
38932,1010379,375,HUDSON ST,MANHATTAN,102,005423191,8031608,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/18/2021 06:00:00 PM,10/19/2021 07:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.728435,-74.007151,2,3,37,1005990064,SOHO-TRIBECA-CIVIC CENTER-LITTLE ITALY
50013,1035403,390,MADISON AVE,MANHATTAN,105,005823281,3255248,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,09/16/2021 06:00:00 PM,09/17/2021 06:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.755738,-73.977152,5,4,94,1012820017,MIDTOWN-MIDTOWN SOUTH
56904,1016047,452,5 AVE,MANHATTAN,105,005735531,2689247,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,10/29/2021 06:00:00 PM,10/30/2021 02:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.752335,-73.982416,5,4,84,1008410049,MIDTOWN-MIDTOWN SOUTH
35660,1036505,425,PARK AVE,MANHATTAN,105,14090633001002016461002055081,3985153,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,07/21/2021 06:00:00 PM,07/21/2021 11:59:00 PM,TRUE,FALSE,TRUE,FALSE,40.760512,-73.971541,5,4,100,1013100001,TURTLE BAY-EAST MIDTOWN
4409,1026318,10,COLUMBUS CIR,MANHATTAN,104,1237902820112379028202002315491002249531002102381,7408183,AHV PERMIT ISSUED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,12/11/2020 06:00:00 PM,12/11/2020 10:00:00 PM,TRUE,TRUE,FALSE,FALSE,40.768244,-73.982339,4,3,145,1010497501,LINCOLN SQUARE
6338,1036156,405,LEXINGTON AVE,MANHATTAN,106,002431271,5216149,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,11/08/2019 06:00:00 PM,11/09/2019 07:00:00 AM,TRUE,FALSE,FALSE,FALSE,40.751823,-73.97576,6,4,92,1012970023,TURTLE BAY-EAST MIDTOWN
2940,3097755,2300,LINDEN BLVD,BROOKLYN,305,003950751,8026086,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/30/2020 09:00:00 PM,10/31/2020 07:00:00 AM,FALSE,TRUE,FALSE,FALSE,40.663888,-73.878265,5,42,1116,3043620001,EAST NEW YORK
4347,1090825,10,VANDERBILT AVE,MANHATTAN,105,003336921,9448602,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,12/07/2020 06:00:00 PM,12/08/2020 12:00:00 AM,FALSE,TRUE,TRUE,FALSE,40.752732,-73.978138,5,4,94,1012770027,MIDTOWN-MIDTOWN SOUTH
10886,1012843,460,WEST 34 ST,MANHATTAN,104,002207631,5584758,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,11/21/2019 10:00:00 PM,11/22/2019 06:00:00 AM,TRUE,FALSE,FALSE,FALSE,40.754329,-73.998578,4,3,103,1007310001,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE
55097,1036465,375,PARK AVE,MANHATTAN,105,005260771,4795704,AHV PERMIT ISSUED,RENEWAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,11/10/2021 06:00:00 PM,11/11/2021 06:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.758786,-73.972801,5,4,100,1013070001,TURTLE BAY-EAST MIDTOWN
25087,1000880,80,PINE ST,MANHATTAN,101,004848361,8631633,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,07/07/2021 06:00:00 PM,07/07/2021 10:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.705892,-74.007181,1,1,7,1000390012,BATTERY PARK CITY-LOWER MANHATTAN
16180,1022709,1271,AVENUE OF THE AMERICAS,MANHATTAN,105,002859831,5029296,AHV PERMIT REJECTED,INITIAL,PUBLIC SAFETY,03/27/2020 06:00:00 PM,03/28/2020 02:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.760289,-73.980157,5,4,131,1010030029,MIDTOWN-MIDTOWN SOUTH
28093,1085682,151,WEST 42 ST,MANHATTAN,105,004823991004824061,3929678,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,06/01/2021 06:00:00 PM,06/02/2021 06:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.755478,-73.985598,5,4,119,1009950005,MIDTOWN-MIDTOWN SOUTH
40156,1014948,155,WEST 23 ST,MANHATTAN,104,005324991005270971004920791004873831004864801,1061982,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,08/03/2021 06:00:00 PM,08/04/2021 02:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.743556,-73.994323,4,3,91,1007990012,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE
9360,1014981,119,WEST 24 ST,MANHATTAN,104,002692101,5669213,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,01/04/2020 07:00:00 AM,01/04/2020 05:00:00 PM,TRUE,TRUE,TRUE,FALSE,40.74391,-73.993104,4,3,91,1008000025,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE
65536,1015175,11,PENNSYLVANIA PLZ,MANHATTAN,105,005591791,5844730,AHV PERMIT ISSUED,RENEWAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,11/23/2021 06:00:00 PM,11/24/2021 12:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.749402,-73.991775,5,3,101,1008070001,MIDTOWN-MIDTOWN SOUTH
62815,1071414,1166,AVENUE OF THE AMERICAS,MANHATTAN,105,005115781005116071005120101,6605061,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,11/29/2021 06:00:00 PM,11/30/2021 03:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.757004,-73.982526,5,4,96,1012617501,MIDTOWN-MIDTOWN SOUTH
