,Borough Name,Community Board,BIN,House Number,Street Name,Complaint Number,Date Complaint Received,DOBRunDate
1000920,QUEENS,412,4861364,121-09,195 ST,4402537,06/03/2009 12:00:00 AM,08/03/2020 12:00:00 AM
792845,BROOKLYN,317,3117318,134,ERASMUS ST,3311878,07/14/2009 12:00:00 AM,03/10/2018 12:00:00 AM
31208,MANHATTAN,103,1088619,324,GRAND ST,1257502,06/02/2009 12:00:00 AM,06/13/2013 12:00:00 AM
408395,MANHATTAN,111,1802896,152,EAST 108 ST,1355423,08/29/2013 12:00:00 AM,04/12/2015 12:00:00 AM
152066,BROOKLYN,306,3008083,455,SMITH ST,3300243,04/02/2009 12:00:00 AM,12/31/2013 12:00:00 AM
638032,QUEENS,412,4280286,137-52,BENNETT ST,4402552,06/03/2009 12:00:00 AM,10/20/2016 12:00:00 AM
581298,MANHATTAN,102,1007920,49,EAST HOUSTON ST,1283488,06/14/2010 12:00:00 AM,05/21/2016 12:00:00 AM
405601,MANHATTAN,112,1813167,1,WADSWORTH TER,1282894,06/03/2010 12:00:00 AM,04/06/2015 12:00:00 AM
564798,MANHATTAN,110,1057978,145,WEST 129 ST,1284382,06/29/2010 12:00:00 AM,04/07/2016 12:00:00 AM
954183,QUEENS,405,4054849,65-61,HULL AVE,4416279,09/22/2009 12:00:00 AM,01/13/2020 12:00:00 AM
50513,QUEENS,413,4863308,94-31,222 ST,4402750,06/03/2009 12:00:00 AM,07/13/2013 12:00:00 AM
673625,BROOKLYN,304,3338446,120,JEFFERSON ST,3432195,12/18/2012 12:00:00 AM,02/18/2017 12:00:00 AM
404199,QUEENS,412,4539005,107-29,155 ST,4521333,07/13/2012 12:00:00 AM,04/03/2015 12:00:00 AM
751625,QUEENS,414,4862217,461,BEACH 62 ST,4506914,02/09/2012 12:00:00 AM,10/17/2017 12:00:00 AM
857778,QUEENS,412,4864229,108-04,FERN PLACE,4402445,06/02/2009 12:00:00 AM,11/16/2018 12:00:00 AM
295221,BROOKLYN,306,3336085,232,SMITH ST,3341842,05/12/2010 12:00:00 AM,09/15/2014 12:00:00 AM
636014,BROOKLYN,309,3115579,195,HAWTHORNE ST,3350137,08/02/2010 12:00:00 AM,10/14/2016 12:00:00 AM
509429,BRONX,201,2001386,701,ELTON AVE,2156603,03/11/2011 12:00:00 AM,11/25/2015 12:00:00 AM
697533,BROOKLYN,302,3057475,70,HANSON PLACE,3404453,02/27/2012 12:00:00 AM,04/29/2017 12:00:00 AM
948751,STATEN ISLAND,503,5167957,351,VETERANS ROAD WEST,5082991,01/21/2010 12:00:00 AM,12/19/2019 12:00:00 AM
945605,MANHATTAN,103,1088693,75,1 AVE,1252775,04/02/2009 12:00:00 AM,12/04/2019 12:00:00 AM
127674,BROOKLYN,302,3056397,4,DOWNING ST,3349477,07/27/2010 12:00:00 AM,11/19/2013 12:00:00 AM
550191,BRONX,207,2125038,2184,CEDAR AVE,2145017,05/10/2010 12:00:00 AM,03/01/2016 12:00:00 AM
732429,QUEENS,410,4864667,102-15,BURLINGAME CT,4402440,06/02/2009 12:00:00 AM,08/18/2017 12:00:00 AM
94793,BROOKLYN,306,3021020,497,3 ST,3440245,04/02/2013 12:00:00 AM,09/25/2013 12:00:00 AM
23536,QUEENS,412,4863994,107-49,157 ST,4410308,08/03/2009 12:00:00 AM,06/01/2013 12:00:00 AM
846749,STATEN ISLAND,501,5023780,11,AVENUE B,5078586,05/21/2009 12:00:00 AM,10/03/2018 12:00:00 AM
406572,QUEENS,405,4864311,61-78,DRY HARBOR RD,4415509,09/16/2009 12:00:00 AM,04/08/2015 12:00:00 AM
312707,QUEENS,4,4859760,4-21,44 AVE,4402439,06/02/2009 12:00:00 AM,10/20/2014 12:00:00 AM
1082599,QUEENS,414,4860595,803,SEAGIRT BLVD,4507276,02/14/2012 12:00:00 AM,08/05/2021 12:00:00 AM
2283,MANHATTAN,105,1088896,815,6 AVE,1252768,04/02/2009 12:00:00 AM,04/29/2013 12:00:00 AM
677170,MANHATTAN,103,1803979,126,HESTER ST,1256042,05/12/2009 12:00:00 AM,03/02/2017 12:00:00 AM
84503,QUEENS,412,4273211,193-20,120 AVE,4452886,07/29/2010 12:00:00 AM,09/08/2013 12:00:00 AM
552396,BROOKLYN,310,3149134,7620,RIDGE BLVD,3437296,02/26/2013 12:00:00 AM,03/06/2016 12:00:00 AM
13379,BROOKLYN,301,3062739,469,GRAND ST,3358653,10/22/2010 12:00:00 AM,05/16/2013 12:00:00 AM
978992,BRONX,208,2831144,103,PEROT ST,2186730,06/25/2013 12:00:00 AM,04/27/2020 12:00:00 AM
296587,QUEENS,412,4219639,112-24,177 ST,4441940,04/23/2010 12:00:00 AM,09/18/2014 12:00:00 AM
